count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 257.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 255.25 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 267.46 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 259.44 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 251.59 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 281.70 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 294.71 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 282.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 257.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 255.25 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 267.46 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 259.44 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 251.59 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 281.70 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 294.71 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 282.61 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 257.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 91 %, 48 %, Enabled, 255.25 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 262.89 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 264.90 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 251.59 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 281.70 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 292.90 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 278.98 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 257.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 91 %, 48 %, Enabled, 252.60 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 262.89 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 264.90 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 272.87 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 281.70 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 292.90 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 278.98 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 257.11 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 91 %, 48 %, Enabled, 252.60 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 262.89 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 264.90 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 272.87 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 281.09 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 293.84 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 278.98 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 255.32 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 91 %, 48 %, Enabled, 252.60 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 262.95 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 264.31 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 272.87 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 281.09 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 293.84 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 282.94 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 255.32 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 91 %, 48 %, Enabled, 254.98 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 262.95 W
